"timestamp","device","seqnumber","event","temperature1","temperature2","bmetemp","bmehum","bmepress","adc1","adc2","adc3","battery","devicetypeid","data","time","__dt"
"2022-07-12T14:58:38+01:00","1B29854","1731","1","34","33","39","15","994","2","1","5","27","5eb9311be833d96c2857fd8b","0186858b0f5e0201051b","1657630718","2022-07-12 00:00:00.000"
"2022-07-13T03:48:00+01:00","1B29854","1781","1","16","15","15","70","993","2","1","4","27","5eb9311be833d96c2857fd8b","01747373465d0201041b","1657676880","2022-07-13 00:00:00.000"
"2022-07-12T15:29:25+01:00","1B29854","1733","1","38","34","40","14","994","2","1","5","27","5eb9311be833d96c2857fd8b","018a868c0e5e0201051b","1657632565","2022-07-12 00:00:00.000"
"2022-07-11T21:16:11+01:00","1B29854","1662","1","24","20","20","60","993","2","1","4","27","5eb9311be833d96c2857fd8b","017c78783c5d0201041b","1657566971","2022-07-11 00:00:00.000"
"2022-07-12T04:26:59+01:00","1B29854","1690","1","9","10","9","99","994","2","1","4","27","5eb9311be833d96c2857fd8b","016d6e6d635e0201041b","1657592819","2022-07-12 00:00:00.000"
"2022-07-13T10:59:22+01:00","1B29854","1809","1","36","32","35","24","992","2","1","5","27","5eb9311be833d96c2857fd8b","01888487185c0201051b","1657702762","2022-07-13 00:00:00.000"
"2022-07-12T21:54:02+01:00","1B29854","1758","1","26","20","20","48","993","1","1","2","27","5eb9311be833d96c2857fd8b","017e7878305d0101021b","1657655642","2022-07-12 00:00:00.000"
"2022-07-13T14:04:11+01:00","1B29854","1821","1","40","30","35","18","991","2","1","4","27","5eb9311be833d96c2857fd8b","018c8287125b0201041b","1657713851","2022-07-13 00:00:00.000"
"2022-07-12T14:43:17+01:00","1B29854","1730","1","35","31","41","13","994","3","1","5","27","5eb9311be833d96c2857fd8b","0187838d0d5e0301051b","1657629797","2022-07-12 00:00:00.000"
"2022-07-12T23:41:44+01:00","1B29854","1765","1","21","18","18","53","993","2","1","3","27","5eb9311be833d96c2857fd8b","01797676355d0201031b","1657662104","2022-07-12 00:00:00.000"
"2022-07-13T16:53:35+01:00","1B29854","1832","1","45","36","41","12","989","2","1","4","27","5eb9311be833d96c2857fd8b","0191888d0c590201041b","1657724015","2022-07-13 00:00:00.000"
"2022-07-14T00:04:21+01:00","1B29854","1860","1","25","22","22","53","990","2","1","3","27","5eb9311be833d96c2857fd8b","017d7a7a355a0201031b","1657749861","2022-07-13 00:00:00.000"
"2022-07-14T05:12:08+01:00","1B29854","1880","1","16","16","16","80","989","2","1","3","27","5eb9311be833d96c2857fd8b","0174747450590201031b","1657768328","2022-07-14 00:00:00.000"
"2022-07-11T16:23:49+01:00","1B29854","1643","1","34","28","34","25","992","3","1","5","27","5eb9311be833d96c2857fd8b","01868086195c0301051b","1657549429","2022-07-11 00:00:00.000"
"2022-07-14T09:03:14+01:00","1B29854","1895","1","25","24","26","43","989","2","1","4","27","5eb9311be833d96c2857fd8b","017d7c7e2b590201041b","1657782194","2022-07-14 00:00:00.000"
