"timestamp","device","seqnumber","event","temperature1","temperature2","bmetemp","bmehum","bmepress","adc1","adc2","adc3","battery","devicetypeid","data","time","__dt"
"2022-07-13T23:08:07+01:00","1B29857","3987","3","26","25","24","43","989","26","1","1","24","5eb930dde833d96c2857f411","037e7d7c2b591a010118","1657746487","2022-07-13 00:00:00.000"
"2022-07-14T10:55:57+01:00","1B29857","4033","3","24","24","24","49","988","5","1","1","24","5eb930dde833d96c2857f411","037c7c7c315805010118","1657788957","2022-07-14 00:00:00.000"
"2022-07-14T03:29:35+01:00","1B29857","4004","3","16","17","17","76","989","16","1","1","24","5eb930dde833d96c2857f411","037475754c5910010118","1657762175","2022-07-14 00:00:00.000"
"2022-07-14T06:18:54+01:00","1B29857","4015","3","15","17","16","80","988","18","1","1","24","5eb930dde833d96c2857f411","03737574505812010118","1657772334","2022-07-14 00:00:00.000"
"2022-07-13T21:20:29+01:00","1B29857","3980","3","32","29","29","33","989","28","1","1","24","5eb930dde833d96c2857f411","0384818121591c010118","1657740029","2022-07-13 00:00:00.000"
"2022-07-14T02:58:49+01:00","1B29857","4002","3","17","18","17","73","989","16","1","1","24","5eb930dde833d96c2857f411","03757675495910010118","1657760329","2022-07-14 00:00:00.000"
"2022-07-14T08:22:02+01:00","1B29857","4023","3","18","20","20","67","989","13","1","1","24","5eb930dde833d96c2857f411","0376787843590d010118","1657779722","2022-07-14 00:00:00.000"
"2022-07-13T23:23:30+01:00","1B29857","3988","3","26","25","24","44","990","14","1","1","24","5eb930dde833d96c2857f411","037e7d7c2c5a0e010118","1657747410","2022-07-13 00:00:00.000"
"2022-07-14T09:08:13+01:00","1B29857","4026","3","20","21","21","59","988","1","1","1","24","5eb930dde833d96c2857f411","037879793b5801010118","1657782493","2022-07-14 00:00:00.000"
"2022-07-14T00:55:47+01:00","1B29857","3994","3","22","22","21","57","989","6","1","1","24","5eb930dde833d96c2857f411","037a7a79395906010118","1657752947","2022-07-13 00:00:00.000"
"2022-07-13T13:54:15+01:00","1B29857","3951","3","35","30","31","24","991","17","1","1","24","5eb930dde833d96c2857f411","03878283185b11010118","1657713255","2022-07-13 00:00:00.000"
"2022-07-13T20:03:34+01:00","1B29857","3975","3","36","31","31","23","989","20","1","1","24","5eb930dde833d96c2857f411","03888383175914010118","1657735414","2022-07-13 00:00:00.000"
"2022-07-13T16:12:51+01:00","1B29857","3960","3","51","38","41","12","990","14","1","1","24","5eb930dde833d96c2857f411","03978a8d0c5a0e010118","1657721571","2022-07-13 00:00:00.000"
"2022-07-14T05:48:08+01:00","1B29857","4013","3","15","17","17","78","988","2","1","1","24","5eb930dde833d96c2857f411","037375754e5802010118","1657770488","2022-07-14 00:00:00.000"
"2022-07-14T10:09:47+01:00","1B29857","4030","3","24","24","24","51","988","2","1","1","24","5eb930dde833d96c2857f411","037c7c7c335802010118","1657786187","2022-07-14 00:00:00.000"
"2022-07-13T14:09:39+01:00","1B29857","3952","3","37","30","31","22","991","10","1","1","24","5eb930dde833d96c2857f411","03898283165b0a010118","1657714179","2022-07-13 00:00:00.000"
"2022-07-13T22:21:58+01:00","1B29857","3984","3","28","26","26","38","989","1","1","1","24","5eb930dde833d96c2857f411","03807e7e265901010118","1657743718","2022-07-13 00:00:00.000"
"2022-07-13T14:40:27+01:00","1B29857","3954","3","40","35","36","15","991","15","1","1","24","5eb930dde833d96c2857f411","038c87880f5b0f010118","1657716027","2022-07-13 00:00:00.000"
"2022-07-14T02:12:40+01:00","1B29857","3999","3","19","19","18","67","989","6","1","1","24","5eb930dde833d96c2857f411","03777776435906010118","1657757560","2022-07-14 00:00:00.000"
"2022-07-13T15:11:17+01:00","1B29857","3956","3","48","38","40","11","990","15","1","1","24","5eb930dde833d96c2857f411","03948a8c0b5a0f010118","1657717877","2022-07-13 00:00:00.000"
"2022-07-14T09:54:23+01:00","1B29857","4029","3","22","23","23","53","988","8","1","1","24","5eb930dde833d96c2857f411","037a7b7b355808010118","1657785263","2022-07-14 00:00:00.000"
"2022-07-13T15:57:28+01:00","1B29857","3959","3","51","38","40","12","990","10","1","1","24","5eb930dde833d96c2857f411","03978a8c0c5a0a010118","1657720648","2022-07-13 00:00:00.000"
"2022-07-14T04:15:45+01:00","1B29857","4007","3","15","16","16","79","989","24","1","1","24","5eb930dde833d96c2857f411","037374744f5918010118","1657764945","2022-07-14 00:00:00.000"
"2022-07-13T16:43:38+01:00","1B29857","3962","3","50","36","40","13","990","4","1","1","24","5eb930dde833d96c2857f411","0396888c0d5a04010118","1657723418","2022-07-13 00:00:00.000"
"2022-07-13T17:45:12+01:00","1B29857","3966","3","47","35","39","14","989","15","1","1","24","5eb930dde833d96c2857f411","0393878b0e590f010118","1657727112","2022-07-13 00:00:00.000"
"2022-07-13T15:42:03+01:00","1B29857","3958","3","49","38","40","11","990","17","1","1","24","5eb930dde833d96c2857f411","03958a8c0b5a11010118","1657719723","2022-07-13 00:00:00.000"
"2022-07-13T22:52:44+01:00","1B29857","3986","3","27","25","25","41","989","14","1","1","24","5eb930dde833d96c2857f411","037f7d7d29590e010118","1657745564","2022-07-13 00:00:00.000"
"2022-07-14T05:32:43+01:00","1B29857","4012","3","15","17","17","77","988","1","1","1","24","5eb930dde833d96c2857f411","037375754d5801010118","1657769563","2022-07-14 00:00:00.000"
"2022-07-14T10:25:11+01:00","1B29857","4031","3","24","23","23","54","988","2","1","1","24","5eb930dde833d96c2857f411","037c7b7b365802010118","1657787111","2022-07-14 00:00:00.000"
"2022-07-14T08:37:25+01:00","1B29857","4024","3","19","20","20","65","989","2","1","1","24","5eb930dde833d96c2857f411","03777878415902010118","1657780645","2022-07-14 00:00:00.000"
"2022-07-14T06:03:30+01:00","1B29857","4014","3","15","16","16","80","988","1","1","1","24","5eb930dde833d96c2857f411","03737474505801010118","1657771410","2022-07-14 00:00:00.000"
"2022-07-13T14:55:52+01:00","1B29857","3955","3","44","36","38","13","991","18","1","1","24","5eb930dde833d96c2857f411","0390888a0d5b12010118","1657716952","2022-07-13 00:00:00.000"
"2022-07-14T07:05:03+01:00","1B29857","4018","3","16","17","17","77","988","4","1","1","24","5eb930dde833d96c2857f411","037475754d5804010118","1657775103","2022-07-14 00:00:00.000"
"2022-07-14T04:31:09+01:00","1B29857","4008","3","15","17","17","77","989","5","1","1","24","5eb930dde833d96c2857f411","037375754d5905010118","1657765869","2022-07-14 00:00:00.000"
"2022-07-13T20:18:57+01:00","1B29857","3976","3","34","31","30","24","989","18","1","1","24","5eb930dde833d96c2857f411","03868382185912010118","1657736337","2022-07-13 00:00:00.000"
"2022-07-13T18:46:42+01:00","1B29857","3970","3","42","34","37","15","989","22","1","1","24","5eb930dde833d96c2857f411","038e86890f5916010118","1657730802","2022-07-13 00:00:00.000"
"2022-07-13T22:37:21+01:00","1B29857","3985","3","27","26","26","38","989","25","1","1","24","5eb930dde833d96c2857f411","037f7e7e265919010118","1657744641","2022-07-13 00:00:00.000"
"2022-07-13T20:34:20+01:00","1B29857","3977","3","34","34","35","19","989","14","1","1","24","5eb930dde833d96c2857f411","0386868713590e010118","1657737260","2022-07-13 00:00:00.000"
"2022-07-14T04:46:32+01:00","1B29857","4009","3","15","17","17","76","989","22","1","1","24","5eb930dde833d96c2857f411","037375754c5916010118","1657766792","2022-07-14 00:00:00.000"
"2022-07-14T02:28:02+01:00","1B29857","4000","3","18","19","18","69","989","5","1","1","24","5eb930dde833d96c2857f411","03767776455905010118","1657758482","2022-07-14 00:00:00.000"
"2022-07-13T19:02:05+01:00","1B29857","3971","3","40","34","37","15","989","18","1","1","24","5eb930dde833d96c2857f411","038c86890f5912010118","1657731725","2022-07-13 00:00:00.000"
"2022-07-13T17:29:48+01:00","1B29857","3965","3","48","36","39","14","989","15","1","1","24","5eb930dde833d96c2857f411","0394888b0e590f010118","1657726188","2022-07-13 00:00:00.000"
"2022-07-13T18:00:34+01:00","1B29857","3967","3","46","36","40","13","989","8","1","1","24","5eb930dde833d96c2857f411","0392888c0d5908010118","1657728034","2022-07-13 00:00:00.000"
"2022-07-14T00:25:00+01:00","1B29857","3992","3","23","23","22","52","989","1","1","1","24","5eb930dde833d96c2857f411","037b7b7a345901010118","1657751100","2022-07-13 00:00:00.000"
"2022-07-14T02:43:26+01:00","1B29857","4001","3","18","18","17","72","989","16","1","1","24","5eb930dde833d96c2857f411","03767675485910010118","1657759406","2022-07-14 00:00:00.000"
"2022-07-14T06:49:40+01:00","1B29857","4017","3","15","17","17","77","989","22","1","1","24","5eb930dde833d96c2857f411","037375754d5916010118","1657774180","2022-07-14 00:00:00.000"
"2022-07-13T14:25:03+01:00","1B29857","3953","3","38","33","34","20","991","10","1","1","24","5eb930dde833d96c2857f411","038a8586145b0a010118","1657715103","2022-07-13 00:00:00.000"
"2022-07-14T07:35:50+01:00","1B29857","4020","3","17","19","20","67","988","13","1","1","24","5eb930dde833d96c2857f411","0375777843580d010118","1657776950","2022-07-14 00:00:00.000"
"2022-07-14T10:40:35+01:00","1B29857","4032","3","24","23","23","53","988","8","1","1","24","5eb930dde833d96c2857f411","037c7b7b355808010118","1657788035","2022-07-14 00:00:00.000"
"2022-07-13T23:38:52+01:00","1B29857","3989","3","25","24","24","47","989","18","1","1","24","5eb930dde833d96c2857f411","037d7c7c2f5912010118","1657748332","2022-07-13 00:00:00.000"
"2022-07-13T13:38:51+01:00","1B29857","3950","3","34","30","31","26","991","16","1","1","24","5eb930dde833d96c2857f411","038682831a5b10010118","1657712331","2022-07-13 00:00:00.000"
"2022-07-14T04:00:22+01:00","1B29857","4006","3","16","17","16","79","989","24","1","1","24","5eb930dde833d96c2857f411","037475744f5918010118","1657764022","2022-07-14 00:00:00.000"
"2022-07-13T19:17:27+01:00","1B29857","3972","3","39","35","38","14","989","10","1","1","24","5eb930dde833d96c2857f411","038b878a0e590a010118","1657732647","2022-07-13 00:00:00.000"
"2022-07-13T18:31:20+01:00","1B29857","3969","3","44","34","37","15","989","15","1","1","24","5eb930dde833d96c2857f411","039086890f590f010118","1657729880","2022-07-13 00:00:00.000"
"2022-07-13T16:59:02+01:00","1B29857","3963","3","50","36","39","13","990","18","1","1","24","5eb930dde833d96c2857f411","0396888b0d5a12010118","1657724342","2022-07-13 00:00:00.000"
"2022-07-13T23:54:15+01:00","1B29857","3990","3","25","23","23","49","989","24","1","1","24","5eb930dde833d96c2857f411","037d7b7b315918010118","1657749255","2022-07-13 00:00:00.000"
"2022-07-14T00:09:38+01:00","1B29857","3991","3","24","23","23","51","990","10","1","1","24","5eb930dde833d96c2857f411","037c7b7b335a0a010118","1657750178","2022-07-13 00:00:00.000"
"2022-07-13T17:14:25+01:00","1B29857","3964","3","49","36","38","14","989","19","1","1","24","5eb930dde833d96c2857f411","0395888a0e5913010118","1657725265","2022-07-13 00:00:00.000"
"2022-07-13T22:06:35+01:00","1B29857","3983","3","29","25","25","38","989","9","1","1","24","5eb930dde833d96c2857f411","03817d7d265909010118","1657742795","2022-07-13 00:00:00.000"
"2022-07-14T01:26:31+01:00","1B29857","3996","3","20","20","20","61","989","6","1","1","24","5eb930dde833d96c2857f411","037878783d5906010118","1657754791","2022-07-13 00:00:00.000"
