"timestamp","device","seqnumber","event","temperature1","temperature2","bmetemp","bmehum","bmepress","adc1","adc2","adc3","battery","devicetypeid","data","time","__dt"
"2022-07-13T20:54:05+01:00","1B29859","3957","1","32","29","28","30","988","1","1","1","27","5eb93b15c563d67b6b9800d7","018481801e580101011b","1657738445","2022-07-13 00:00:00.000"
"2022-07-13T22:41:45+01:00","1B29859","3964","1","27","25","24","43","989","1","1","1","27","5eb93b15c563d67b6b9800d7","017f7d7c2b590101011b","1657744905","2022-07-13 00:00:00.000"
"2022-07-13T12:57:01+01:00","1B29859","3926","1","47","37","43","12","991","1","1","1","27","5eb93b15c563d67b6b9800d7","0193898f0c5b0101011b","1657709821","2022-07-13 00:00:00.000"
"2022-07-13T19:52:32+01:00","1B29859","3953","1","34","30","30","25","988","1","1","1","27","5eb93b15c563d67b6b9800d7","0186828219580101011b","1657734752","2022-07-13 00:00:00.000"
"2022-07-13T23:43:18+01:00","1B29859","3968","1","25","23","22","52","989","1","1","1","27","5eb93b15c563d67b6b9800d7","017d7b7a34590101011b","1657748598","2022-07-13 00:00:00.000"
"2022-07-13T22:26:23+01:00","1B29859","3963","1","28","25","24","42","989","1","1","1","27","5eb93b15c563d67b6b9800d7","01807d7c2a590101011b","1657743983","2022-07-13 00:00:00.000"
"2022-07-13T18:04:49+01:00","1B29859","3946","1","42","32","32","22","989","1","1","1","27","5eb93b15c563d67b6b9800d7","018e848416590101011b","1657728289","2022-07-13 00:00:00.000"
"2022-07-13T19:21:45+01:00","1B29859","3951","1","35","31","30","24","988","1","1","1","27","5eb93b15c563d67b6b9800d7","0187838218580101011b","1657732905","2022-07-13 00:00:00.000"
"2022-07-13T14:13:59+01:00","1B29859","3931","1","49","34","40","13","991","1","1","1","27","5eb93b15c563d67b6b9800d7","0195868c0d5b0101011b","1657714439","2022-07-13 00:00:00.000"
"2022-07-13T18:20:13+01:00","1B29859","3947","1","41","31","31","23","988","1","1","1","27","5eb93b15c563d67b6b9800d7","018d838317580101011b","1657729213","2022-07-13 00:00:00.000"
"2022-07-14T06:23:20+01:00","1B29859","3994","1","15","16","15","88","988","1","1","1","27","5eb93b15c563d67b6b9800d7","0173747358580101011b","1657772600","2022-07-14 00:00:00.000"
"2022-07-14T05:21:48+01:00","1B29859","3990","1","16","16","16","84","988","1","1","1","27","5eb93b15c563d67b6b9800d7","0174747454580101011b","1657768908","2022-07-14 00:00:00.000"
"2022-07-14T00:44:50+01:00","1B29859","3972","1","23","21","20","61","989","1","1","1","27","5eb93b15c563d67b6b9800d7","017b79783d590101011b","1657752290","2022-07-13 00:00:00.000"
"2022-07-13T14:29:22+01:00","1B29859","3932","1","50","35","41","11","990","1","1","1","27","5eb93b15c563d67b6b9800d7","0196878d0b5a0101011b","1657715362","2022-07-13 00:00:00.000"
"2022-07-14T02:32:31+01:00","1B29859","3979","1","19","18","17","77","988","1","1","1","27","5eb93b15c563d67b6b9800d7","017776754d580101011b","1657758751","2022-07-14 00:00:00.000"
